,SampleDate,N Gene gc/g dry weight,N Gene gc/g dry weight UCI,N Gene gc/g dry weight LCI,PMMoV gc/g dry weight,PMMoV gc/g dry weight UCI,PMMoV gc/g dry weight LCI,BCoV Recovery,BCoV Recovery UCI,BCoV Recovery LCI,N_norm_PMMoV,City
166,2022-09-25,68997.8270406013,86334.9427426316,49446.2492751536,2557803200.21587,2692501678.85372,2432357988.94803,2.015,2.535,1.449,2.6975424471584883e-05,Modesto
167,2022-09-26,,,,,,,,,,,Modesto
168,2022-09-27,25668.9942677696,31836.7977784586,20258.9064128899,954742910.649346,1087154722.64957,825160430.641617,0.841,1.064,0.608,2.6885765771553557e-05,Modesto
169,2022-09-28,36859.9483542708,43634.5965276422,30826.3523474083,1219112135.65393,1348920345.35088,1094942616.81637,0.671,0.817,0.534,3.0235076229881983e-05,Modesto
170,2022-09-29,45820.1328067022,53425.8542964889,38973.3723671158,947645611.152953,1037672738.28857,870027522.876684,0.659,0.77,0.559,4.8351548582549895e-05,Modesto
171,2022-09-30,55372.8451387033,64743.0004896196,45979.3786649649,2123226473.80562,2190657100.69554,2061084725.40139,1.215,1.331,1.099,2.607957550541198e-05,Modesto
172,2022-10-01,,,,,,,,,,,Modesto
173,2022-10-02,37758.3259749897,43944.7032770963,32182.076848317,1800669885.23757,1867392637.04317,1739741769.12364,1.031,1.174,0.892,2.0969043956665095e-05,Modesto
174,2022-10-03,,,,,,,,,,,Modesto
175,2022-10-04,56989.265471935,68174.708179779,46566.7750046264,1952303111.44548,2023649438.00523,1882307595.231,1.271,1.478,1.07,2.9190787607637577e-05,Modesto
176,2022-10-05,81220.7123370228,92519.6783779284,69465.2253310306,2033435600.65987,2101273537.54419,1973094444.98949,1.229,1.409,1.065,3.994260369527605e-05,Modesto
177,2022-10-06,63892.3030714688,79254.5796880275,48630.208584642,1373408527.55347,1555997252.0462,1196017349.2357,0.893,1.047,0.755,4.6520974487673933e-05,Modesto
178,2022-10-07,,,,,,,,,,,Modesto
179,2022-10-08,,,,,,,,,,,Modesto
180,2022-10-09,23538.3221071919,28784.0681726743,18558.3040802468,868184482.800726,1018610592.62144,721732931.247564,0.79,0.942,0.632,2.7112120261880607e-05,Modesto
181,2022-10-10,,,,,,,,,,,Modesto
182,2022-10-11,48986.1523571264,61305.1291477309,37021.2693757144,1953971796.81348,2103102616.74365,1822857725.35563,1.296,1.611,0.958,2.5070040640818146e-05,Modesto
183,2022-10-12,45682.3896989505,54435.6940710258,36705.957669596,1557805481.75942,1655224461.97293,1461699964.95318,1.05,1.264,0.841,2.9324835631824715e-05,Modesto
184,2022-10-13,79870.3648013565,94748.0565450974,65297.3808004165,1429682274.15302,1504649932.75136,1359507035.02579,1.363,1.64,1.139,5.5865814555666734e-05,Modesto
185,2022-10-14,,,,,,,,,,,Modesto
186,2022-10-15,,,,,,,,,,,Modesto
187,2022-10-16,78892.7677089393,106982.520159546,52597.4376817576,1985058184.20499,2107314200.38134,1875451017.06579,0.618,0.718,0.528,3.974330240628973e-05,Modesto
188,2022-10-17,,,,,,,,,,,Modesto
189,2022-10-18,52651.6600234597,65489.3907428991,38304.3171969737,3626749362.09162,5048483287.46157,2677568161.55464,2.123,2.356,1.906,1.4517589931578404e-05,Modesto
190,2022-10-19,65045.0889405994,81823.1585262023,45232.9248990024,1452291056.61431,1554057636.90705,1349267993.24463,0.594,0.697,0.502,4.478791537299513e-05,Modesto
191,2022-10-20,63663.4399297907,81288.7763285743,47478.8533748694,1797576115.80461,1903066960.90378,1691259924.25475,1.518,1.713,1.327,3.541626936965304e-05,Modesto
192,2022-10-21,,,,,,,,,,,Modesto
193,2022-10-22,,,,,,,,,,,Modesto
194,2022-10-23,29373.4222012226,35633.2183345796,23894.1563734426,1180050143.50445,1325393429.59793,1041232180.38018,0.876,1.011,0.729,2.489167291992438e-05,Modesto
195,2022-10-24,,,,,,,,,,,Modesto
196,2022-10-25,54154.6253274649,63392.8765703536,45777.3828499917,1785533810.03028,1839582070.37632,1732479550.53402,0.885,1.063,0.717,3.032965549195986e-05,Modesto
197,2022-10-26,125122.519545027,154414.142706873,98392.3417165906,2581540897.45407,2667490628.03677,2495358925.99172,1.534,1.693,1.386,4.846815313614575e-05,Modesto
