,Date,County,Rt,Rt_LCI,Rt_UCI
2022,2022-12-01,Stanislaus,0.9918097548579505,0.9198976602833666,1.0670312500807217
2023,2022-12-02,Stanislaus,0.9918454158934719,0.9200334940690313,1.0681852356758057
2024,2022-12-03,Stanislaus,0.9934371119664069,0.921616027076406,1.0692660832880447
2025,2022-12-04,Stanislaus,0.9943249308053499,0.9222386146044611,1.0703220534358449
2026,2022-12-05,Stanislaus,0.9954121605524416,0.922896514563559,1.072160871448783
2027,2022-12-06,Stanislaus,0.9958463316753001,0.9233411214111896,1.0725117858226663
2028,2022-12-07,Stanislaus,0.9939149493009987,0.921545072468506,1.0699300756340482
2029,2022-12-08,Stanislaus,0.9892021101283615,0.9164266197697544,1.0654126180830077
2030,2022-12-09,Stanislaus,0.9818503914073532,0.9095630964691404,1.0574494446468854
2031,2022-12-10,Stanislaus,0.9727925652796734,0.9007625240480877,1.0485116981335727
2032,2022-12-11,Stanislaus,0.9599582005511209,0.8884303405137906,1.0350200530123206
2033,2022-12-12,Stanislaus,0.9445964006424159,0.8734117962154453,1.0200876201548408
2034,2022-12-13,Stanislaus,0.9300254376909516,0.8583912005836267,1.0055735191629176
2035,2022-12-14,Stanislaus,0.9160709559744924,0.8443511269585497,0.9913962780200488
2036,2022-12-15,Stanislaus,0.9026215216771085,0.8317703708679489,0.9775861047797194
2037,2022-12-16,Stanislaus,0.8887127474709786,0.8178436895359382,0.9636169499587024
2038,2022-12-17,Stanislaus,0.8787268689831855,0.8073630228295254,0.9542496986773688
2039,2022-12-18,Stanislaus,0.8725083938724367,0.800599935379062,0.9490252025634759
2040,2022-12-19,Stanislaus,0.8712485915781869,0.7979295613646551,0.9493052368196846
2041,2022-12-20,Stanislaus,0.8712567727364713,0.7967242980588464,0.9509177765034869
2042,2022-12-21,Stanislaus,0.8730219175745737,0.7971661412256676,0.9534820599847811
2043,2022-12-22,Stanislaus,0.8746247731046408,0.7974419854508521,0.9575522327910481
2044,2022-12-23,Stanislaus,0.8768334601927965,0.7981471080086285,0.9604293136997608
2045,2022-12-24,Stanislaus,0.8787367131590518,0.7983195804300537,0.964991236862689
2046,2022-12-25,Stanislaus,0.8798522048919806,0.798192161162061,0.966626125055033
2047,2022-12-26,Stanislaus,0.8787686002873505,0.7957537301328492,0.9670369753818941
2048,2022-12-27,Stanislaus,0.874855079356168,0.7907392034833187,0.9649128562058706
2049,2022-12-28,Stanislaus,0.8701103208383576,0.7857367138018115,0.9610466966945306
2050,2022-12-29,Stanislaus,0.8655414051034331,0.7797408457605743,0.9575338537318627
2051,2022-12-30,Stanislaus,0.8577403200003979,0.7712833041774932,0.951660689980727
2052,2022-12-31,Stanislaus,0.8485600327504363,0.7605940109845786,0.9429092813032219
2053,2023-01-01,Stanislaus,0.8401342480182136,0.750964959651865,0.9359324321564354
2054,2023-01-02,Stanislaus,0.8310370512258844,0.7408992796500148,0.9287509366531931
2055,2023-01-03,Stanislaus,0.8228751097600018,0.7311738868997391,0.9220797609760572
2056,2023-01-04,Stanislaus,0.8168873249343713,0.7227114180802992,0.9188373305668708
2057,2023-01-05,Stanislaus,0.8128110109851179,0.717706228183604,0.9166863278828397
2058,2023-01-06,Stanislaus,0.8124820079368236,0.7147701096969997,0.9189317306933574
2059,2023-01-07,Stanislaus,0.8143394618022789,0.7147132559106399,0.9238079505978456
2060,2023-01-08,Stanislaus,0.8184420860022669,0.7153387761037859,0.9319227513070855
