City,County_FIPS,PMMoV_gc_g_dry_weight,Population_Served,SC2_N_gc_g_dry_weight,SC2_N_norm_PMMoV,Site_Name,Zipcode,date,County
Carson,06037,3145201071.7948723,3500000.0,258982.65835897435,8.23421626939675e-05,Joint Water Pollution Control Plant,90745.0,2022-08-01,Los Angeles
Carson,06037,1358688509.8305087,3500000.0,207415.8016723164,0.0001526588325223,Joint Water Pollution Control Plant,90745.0,2022-08-03,Los Angeles
Carson,06037,1547367236.3862927,3500000.0,285168.34771339566,0.0001842926107052,Joint Water Pollution Control Plant,90745.0,2022-08-07,Los Angeles
Carson,06037,1122392788.8729017,3500000.0,178800.84358752996,0.0001593032718671,Joint Water Pollution Control Plant,90745.0,2022-08-09,Los Angeles
Carson,06037,1761092323.9669423,3500000.0,317209.6273278236,0.0001801209527807,Joint Water Pollution Control Plant,90745.0,2022-08-10,Los Angeles
Carson,06037,1307978272.0000002,3500000.0,395261.76448,0.0003021929132474,Joint Water Pollution Control Plant,90745.0,2022-08-14,Los Angeles
Carson,06037,5917529899.25926,3500000.0,451172.7697777778,7.624342883916047e-05,Joint Water Pollution Control Plant,90745.0,2022-08-15,Los Angeles
Carson,06037,1487695105.22293,3500000.0,227972.59352866243,0.0001532387871199,Joint Water Pollution Control Plant,90745.0,2022-08-17,Los Angeles
Carson,06037,1995044830.144928,3500000.0,194925.22527536235,9.77046842908298e-05,Joint Water Pollution Control Plant,90745.0,2022-08-21,Los Angeles
Carson,06037,2177451455.0724635,3500000.0,267101.74117101444,0.0001226671393976,Joint Water Pollution Control Plant,90745.0,2022-08-22,Los Angeles
Carson,06037,196629801.42933333,3500000.0,61736.45017599999,0.0003139730077904,Joint Water Pollution Control Plant,90745.0,2022-08-24,Los Angeles
Carson,06037,2987515222.2541966,3500000.0,153565.8436450839,5.140253093981308e-05,Joint Water Pollution Control Plant,90745.0,2022-08-28,Los Angeles
Carson,06037,1499113792.398754,3500000.0,197082.044211838,0.0001314657000763,Joint Water Pollution Control Plant,90745.0,2022-08-29,Los Angeles
Carson,06037,4228275101.798942,3500000.0,465602.69307936507,0.0001101164616468,Joint Water Pollution Control Plant,90745.0,2022-08-31,Los Angeles
Carson,06037,1654736931.028807,3500000.0,140269.41682304526,8.476840891913553e-05,Joint Water Pollution Control Plant,90745.0,2022-09-04,Los Angeles
Carson,06037,1637265733.6888893,3500000.0,135544.73877333337,8.278725681746257e-05,Joint Water Pollution Control Plant,90745.0,2022-09-05,Los Angeles
Carson,06037,2823276430.129871,3500000.0,193426.75144588744,6.851144626918088e-05,Joint Water Pollution Control Plant,90745.0,2022-09-07,Los Angeles
Carson,06037,637496409.7254902,3500000.0,67162.77552941177,0.0001053539667122,Joint Water Pollution Control Plant,90745.0,2022-09-11,Los Angeles
Carson,06037,2191576640.0,3500000.0,234763.5693333333,0.0001071208576731,Joint Water Pollution Control Plant,90745.0,2022-09-12,Los Angeles
Carson,06037,2119017217.910448,3500000.0,300394.21962189046,0.0001417611037243,Joint Water Pollution Control Plant,90745.0,2022-09-14,Los Angeles
Carson,06037,1050522312.9427612,3500000.0,76497.69767003365,7.281872714892227e-05,Joint Water Pollution Control Plant,90745.0,2022-09-18,Los Angeles
Carson,06037,982493781.4925371,3500000.0,55963.64433830845,5.69608127730766e-05,Joint Water Pollution Control Plant,90745.0,2022-09-19,Los Angeles
Carson,06037,1871364430.9909904,3500000.0,107498.52406006004,5.744392822681451e-05,Joint Water Pollution Control Plant,90745.0,2022-09-21,Los Angeles
Carson,06037,1559774597.6068375,3500000.0,99491.13565811967,6.378558530878046e-05,Joint Water Pollution Control Plant,90745.0,2022-09-25,Los Angeles
Carson,06037,920801425.8481848,3500000.0,56400.21094653465,6.125122025585734e-05,Joint Water Pollution Control Plant,90745.0,2022-09-26,Los Angeles
Carson,06037,958318413.62963,3500000.0,127297.82528888893,0.000132834581365,Joint Water Pollution Control Plant,90745.0,2022-09-28,Los Angeles
Carson,06037,5962599505.454547,3500000.0,565397.2625454545,9.482395422134808e-05,Joint Water Pollution Control Plant,90745.0,2022-10-02,Los Angeles
Carson,06037,1338887691.082251,3500000.0,115624.54751861472,8.635866046774467e-05,Joint Water Pollution Control Plant,90745.0,2022-10-03,Los Angeles
Carson,06037,1233136045.009634,3500000.0,71542.7582273603,5.801692239626437e-05,Joint Water Pollution Control Plant,90745.0,2022-10-05,Los Angeles
Carson,06037,852786828.990099,3500000.0,43308.05347062706,5.078414909610416e-05,Joint Water Pollution Control Plant,90745.0,2022-10-09,Los Angeles
Carson,06037,3025982343.177571,3500000.0,81157.40505919002,2.6820184606221783e-05,Joint Water Pollution Control Plant,90745.0,2022-10-10,Los Angeles
