"","date","SC2_N_norm_PMMoV","SC2_N_gc_g_dry_weight","N","county","Cases_N","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"843",2023-03-15,0.0002230554730971,350249.98767507,350249.98767507,"Yolo",202.911514398544,0.000218242630436269,1.42082967660483,0.000109956585127349,0.000217946215113986,0.000436464498870716,0.000217347066504193
"844",2023-03-16,NA,NA,NA,"Yolo",191.549327629569,0.000206021965998769,1.43432698907826,0.000101884354226393,0.000205736406854196,0.00041984048949555,0.000205161869899175
"845",2023-03-17,0.0003547589473054,151407.10275,151407.10275,"Yolo",180.870002293469,0.000194535757049299,1.42524742445559,9.73330994655656e-05,0.000194328223678744,0.000391135912321514,0.00019390885400293
"846",2023-03-18,NA,NA,NA,"Yolo",160.760810364573,0.000172907201589948,1.44532341393432,8.40227242820384e-05,0.000172815840710315,0.000356874078384642,0.000172629097130801
"847",2023-03-19,NA,NA,NA,"Yolo",142.917910447356,0.000153716169360519,1.44531831872857,7.45342634009709e-05,0.000153754731833812,0.000316569075699139,0.000153834988637475
"848",2023-03-20,6.86974523908954e-05,30502.2189473684,30502.2189473684,"Yolo",127.079712461717,0.000136681305666352,1.42522026326396,6.80266279298449e-05,0.00013679514195206,0.000273347386580931,0.000137025973380283
"849",2023-03-21,NA,NA,NA,"Yolo",121.184528010611,0.000130340706586354,1.43442078192955,6.40225320309097e-05,0.000130469861564716,0.000263887722120194,0.000130731020918332
"850",2023-03-22,7.47028591504016e-05,35250.4493643411,35250.4493643411,"Yolo",115.580047549722,0.000124312775832209,1.42104436835539,6.22208338874546e-05,0.000124424327092087,0.000247126326964785,0.00012465127607073
"851",2023-03-23,NA,NA,NA,"Yolo",116.070920442714,0.000124840736957007,1.43552828790782,6.12803089965812e-05,0.000124927304712105,0.000253343146903404,0.000125104670786645
"852",2023-03-24,0.0002860122623598,112662.264525761,112662.264525761,"Yolo",116.579884481137,0.000125388156115906,1.42789567257432,6.22701923752237e-05,0.00012542660324641,0.000252053056006526,0.000125508469549545
"853",2023-03-25,NA,NA,NA,"Yolo",107.618728283878,0.000115749933730957,1.4522672901256,5.54932765405962e-05,0.00011586053483991,0.000240151256167237,0.000116086153549293
"854",2023-03-26,NA,NA,NA,"Yolo",99.3578793519535,0.000106864930798108,1.45677272290889,5.08419511400933e-05,0.000107028599531717,0.000222708557383412,0.000107359855968535
"855",2023-03-27,3.94463614611293e-05,23914.3674253287,23914.3674253287,"Yolo",91.740365320847,9.86718703674981e-05,1.44173384094597,4.78967725563774e-05,9.88411782530008e-05,0.0002013410473903,9.91852709177456e-05
"856",2023-03-28,NA,NA,NA,"Yolo",92.9328432180077,9.99544467347628e-05,1.45723760807585,4.75001610455738e-05,0.000100129222978416,0.000208294211045567,0.000100483484321811
"857",2023-03-29,9.10027226210449e-05,48364.3083011765,48364.3083011765,"Yolo",94.1486034213988,0.000101262064518575,1.45260143552248,4.8473174691509e-05,0.000101404735941614,0.00020988626579765,0.000101695026671516
"858",2023-03-30,NA,NA,NA,"Yolo",96.3517804324597,0.000103631704051531,1.48492176473875,4.74667204014075e-05,0.000103798689752946,0.000224228608034425,0.000104136708456067
"859",2023-03-31,NA,NA,NA,"Yolo",98.615473986198,0.000106066432495275,1.50010099391481,4.76234466505443e-05,0.000106228562709682,0.000234221745837182,0.000106556507613715
"860",2023-04-01,NA,NA,NA,"Yolo",100.941893335679,0.000108568626024477,1.49895887371309,4.88521952657077e-05,0.000108708582971036,0.000239550136877185,0.000108992263710229
"861",2023-04-02,NA,NA,NA,"Yolo",103.333482901832,0.000111140913749933,1.48143840632199,5.12341910939298e-05,0.000111247121950415,0.000239811176698499,0.00011146359203359
"862",2023-04-03,0.0001076782821858,71087.1198641142,71087.1198641142,"Yolo",105.792860824334,0.000113786111626628,1.44657693279393,5.50425065329869e-05,0.000113850377600671,0.00023448265218243,0.000113983107769291
"863",2023-04-04,NA,NA,NA,"Yolo",108.897977801664,0.000117125837807044,1.44761936259333,5.65964401121894e-05,0.000117175405703484,0.000241818353468402,0.000117278592621315
"864",2023-04-05,0.0001079434819986,49943.5481960784,49943.5481960784,"Yolo",112.107631692278,0.000120577999257585,1.42773612781116,5.99137134782507e-05,0.000120602645887239,0.000242389681033421,0.000120655756478402
