SC2_N_norm_PMMoV,SC2_N_gc_g_dry_weight,N,county,date
0.0002895566710233,99443.7899643766,99443.7899643766,Yolo,2021-01-09
0.0001336796463681,24569.127599947653,24569.127599947653,Yolo,2021-01-10
0.0001333583733179,59087.49950602536,59087.49950602536,Yolo,2021-01-11
0.0002731110152237,124817.24915118195,124817.24915118195,Yolo,2021-01-12
0.0012846218039323,294758.18114929576,294758.18114929576,Yolo,2021-01-13
0.000313051648822,192811.2346083212,192811.2346083212,Yolo,2021-01-14
0.0001766299452715,86489.24307379135,86489.24307379135,Yolo,2021-01-15
0.0003963015527911,78227.33076791925,78227.33076791925,Yolo,2021-01-16
0.0002324751420556,51999.62991838424,51999.62991838424,Yolo,2021-01-17
0.0002813612604846,30553.497251917128,30553.497251917128,Yolo,2021-01-18
0.0001684130822706,41372.77544497869,41372.77544497869,Yolo,2021-01-19
0.0001081944522357,46164.12268825911,46164.12268825911,Yolo,2021-01-20
8.239725680292863e-05,38655.846912,38655.846912,Yolo,2021-01-21
8.997623298284518e-05,36468.30107565543,36468.30107565543,Yolo,2021-01-22
0.0001526787474526,67255.97509694555,67255.97509694555,Yolo,2021-01-23
0.0003101028152407,85738.46497859329,85738.46497859329,Yolo,2021-01-24
8.967366648456169e-05,29379.09176572201,29379.09176572201,Yolo,2021-01-25
0.0001123672213611,28327.35951786667,28327.35951786667,Yolo,2021-01-26
3.957646545439959e-05,19884.12110806697,19884.12110806697,Yolo,2021-01-27
6.271155335709219e-05,83701.7249122807,83701.7249122807,Yolo,2021-01-28
0.0001630488983777,227040.9368699596,227040.9368699596,Yolo,2021-01-29
0.000206603848078,84456.46970909895,84456.46970909895,Yolo,2021-01-30
4.792374520615236e-05,15768.45310936291,15768.45310936291,Yolo,2021-01-31
2.408830508701262e-05,40382.172461269685,40382.172461269685,Yolo,2021-02-01
4.8678098740758426e-05,21140.678529816927,21140.678529816927,Yolo,2021-02-02
0.0084798091461412,2647570.732585547,2647570.732585547,Yolo,2021-02-03
0.0005146767273047,197148.60227171448,197148.60227171448,Yolo,2021-02-04
0.0001402599168694,63454.67047391017,63454.67047391017,Yolo,2021-02-05
9.794271502879402e-05,54074.317640294124,54074.317640294124,Yolo,2021-02-06
9.906147849339608e-05,69744.31240197393,69744.31240197393,Yolo,2021-02-07
5.589757921907927e-05,31998.404144061315,31998.404144061315,Yolo,2021-02-08
8.742477914552312e-05,52212.82896190992,52212.82896190992,Yolo,2021-02-09
0.0002861115700234,104565.42558567484,104565.42558567484,Yolo,2021-02-10
6.29698222337089e-05,41844.646582442736,41844.646582442736,Yolo,2021-02-11
5.0929813210863686e-05,29157.657434444624,29157.657434444624,Yolo,2021-02-12
6.517590290464477e-05,20582.37781176719,20582.37781176719,Yolo,2021-02-13
,,,Yolo,2021-02-14
