,Date,SC2_N_norm_PMMoV,SC2_N_gc_g_dry_weight,N,County,Cases_N,mean,sd,0.025quant,0.5quant,0.975quant,mode,Rt_LCI,Rt_UCI,Rt
9795,2023-02-04,,,,Alameda,85.0,0.0003011484526356,1.36224729755845,0.0001636635638084,0.0003012291733101,0.0005533213266225,0.0003014098128914,0.9294753388339729,1.1780971891933156,1.048742274356621
9796,2023-02-05,,,,Alameda,86.0,0.000306523536174,1.36226088985999,0.0001667835401702,0.0003064732479321,0.0005638961686113,0.000306384988561,0.9287663580370451,1.177410484001494,1.0483497046622379
9797,2023-02-06,,,,Alameda,88.0,0.0003121126824003,1.35436278015633,0.0001720256739946,0.0003119360346768,0.0005681090807417,0.0003115969145598,0.9270620491682746,1.1721430938510917,1.0437531785500798
9798,2023-02-07,0.0006859334918155,477891.5797151,477891.5797151,Alameda,90.0,0.0003179257364542,1.33822315891757,0.000179643177112,0.0003176650037634,0.0005652589814485,0.0003171497554074,0.9218620585890407,1.1650183865595667,1.0388478464952895
9799,2023-02-08,8.4147692024277e-05,26955.1295212121,26955.1295212121,Alameda,88.0,0.0003119612935613,1.3327490034766,0.0001773482364544,0.0003119422577245,0.0005489320748281,0.0003118968253103,0.9161365507596748,1.1578778205577334,1.0327491862357303
9800,2023-02-09,0.000778121348616,250850.736517581,250850.736517581,Alameda,92.0,0.0003267534963612,1.33874315162791,0.0001847621089529,0.0003263138960835,0.000582246462513,0.0003254426741352,0.9078607646858801,1.1493775007103748,1.0242903485184531
9801,2023-02-10,,,,Alameda,92.0,0.0003281331249229,1.35513387831401,0.0001812189321212,0.0003275828690813,0.0005997935372807,0.0003265088591137,0.9002897786929991,1.1398011063986269,1.0157205785062695
9802,2023-02-11,,,,Alameda,93.0,0.0003296519196612,1.36319559983355,0.0001799910924242,0.000329034234438,0.0006101710443188,0.0003278344453636,0.8916516046128995,1.1277571094832455,1.0051135300371628
9803,2023-02-12,,,,Alameda,93.0,0.0003313124812701,1.3632794652535,0.0001809203272289,0.0003306628382336,0.0006134631126529,0.0003293986233281,0.8825280843008696,1.1186537257341183,0.9959210462584693
9804,2023-02-13,,,,Alameda,94.0,0.0003331174395266,1.35539111801732,0.0001840294584068,0.0003324776154648,0.0006095325618031,0.0003312223757719,0.8747254681948562,1.108020283132483,0.9866978921163734
9805,2023-02-14,0.0004148960289351,318418.739660131,318418.739660131,Alameda,94.0,0.0003350694065848,1.33919218624103,0.0001895213037957,0.0003345044014118,0.0005980066874626,0.0003333771366408,0.8687965886965034,1.1021686880833124,0.9809889703918284
9806,2023-02-15,0.0004334461467645,316561.080200717,316561.080200717,Alameda,94.0,0.000333796114815,1.33389156480647,0.0001901888781705,0.0003333084210886,0.000590633726881,0.0003323287144963,0.8653135112283847,1.0976095287345529,0.9775798778152125
9807,2023-02-16,0.000354576888446,116777.684604555,116777.684604555,Alameda,93.0,0.0003285477134311,1.33851174310527,0.0001857379240865,0.0003281695731926,0.0005849051597741,0.0003274080909764,0.864420226154974,1.09821248200962,0.9771905364105913
9808,2023-02-17,,,,Alameda,91.0,0.0003224068939497,1.35449451281593,0.0001778018149871,0.0003221335083608,0.0005873866533688,0.0003215812047225,0.8642182448935134,1.0994396971914062,0.976846491470985
9809,2023-02-18,,,,Alameda,89.0,0.0003165059007293,1.36231113838152,0.0001722816960793,0.0003163962179203,0.0005825594342629,0.0003161596423907,0.8688257616365691,1.105166245101738,0.9816319200455423
9810,2023-02-19,,,,Alameda,88.0,0.0003108342008546,1.36228108078687,0.0001689360200448,0.0003108976315909,0.0005712082821113,0.000311007405085,0.871487456173035,1.11004163799691,0.9862482808611197
9811,2023-02-20,,,,Alameda,86.0,0.0003053816723388,1.35438960899937,0.0001677021340331,0.0003055926177444,0.000553883887675,0.0003059919755734,0.876315992783392,1.1139874809094115,0.990944654444554
9812,2023-02-21,0.0001830327702021,150537.545692047,150537.545692047,Alameda,85.0,0.0003001388713118,1.33828518762653,0.0001687132564983,0.0003004335461547,0.0005309812245186,0.0003010100346664,0.8814449610251256,1.1229409689687446,0.9969667981494852
9813,2023-02-22,0.0003702020400419,171991.888827094,171991.888827094,Alameda,85.0,0.0003023211040871,1.33293110143093,0.0001714879277306,0.000302509436817,0.0005310901089984,0.0003028801281815,0.8855350829002967,1.127120325812427,1.0017578663985272
9814,2023-02-23,0.0001772195527099,157631.626108202,157631.626108202,Alameda,85.0,0.0003015369142578,1.33808591222556,0.0001696895711653,0.0003017437889637,0.0005337365749637,0.000302145334959,0.8876766804413485,1.128811069740617,1.00319438777373
9815,2023-02-24,,,,Alameda,87.0,0.0003088243563609,1.35426825978343,0.0001700044857372,0.0003087928230124,0.0005612725467902,0.0003087049314074,0.8855172882975182,1.1256893037041826,1.0006043717327766
9816,2023-02-25,,,,Alameda,89.0,0.0003164102036111,1.36259385210065,0.0001725363133534,0.0003160570224872,0.0005838725096549,0.0003153453816164,0.8798944464510325,1.119535537384079,0.9954234958764513
9817,2023-02-26,,,,Alameda,91.0,0.0003243097507754,1.36342946452384,0.0001771452114482,0.0003236169895152,0.0006008834722961,0.0003222514083782,0.8715824246676425,1.112026605714803,0.9864865613020674
9818,2023-02-27,,,,Alameda,94.0,0.0003325393240659,1.35683380433654,0.0001838633756611,0.0003315578266002,0.0006114698006689,0.0003296248192513,0.8621107907586751,1.1009803639877895,0.9771975434590219
9819,2023-02-28,0.0006412109524897,320031.114814132,320031.114814132,Alameda,96.0,0.0003411158067256,1.34257120942097,0.0001928501322244,0.0003400001292769,0.0006144784101347,0.0003377691415813,0.8495752670700865,1.0873047682243617,0.9633131814269638
9820,2023-03-01,0.0005254683659987,262376.149463415,262376.149463415,Alameda,96.0,0.0003396260832063,1.33762020490785,0.0001933474386025,0.0003385717077825,0.0006069739348274,0.0003364513062667,0.8363961662181995,1.0723066789350542,0.9501305643976415
